"",gene_symbol,GSM2668081,GSM2668082,GSM2668083,GSM2668084,GSM2668085,GSM2668086,GSM2668087,GSM2668088,GSM2668089
ENSG00000227007,LINC01247,0,3.1593,3.2539,3.0693,2.5633,1.1578,6.804,7.3375,10.2597
ENSG00000227028,SLC8A1-AS1,19.3701,12.7948,22.7809,12.9965,42.2863,27.8481,25.0806,27.7928,32.7617
ENSG00000227036,LINC00511,1159.4107,1096.6447,999.5014,688.1168,883.9293,1021.0449,655.3225,616.1866,717.9667
ENSG00000227039,ITGB2-AS1,63.8459,67.0064,61.4542,22.8103,26.0137,26.9825,45.8767,46.0751,54.0217
ENSG00000227044,OR2H2,0.5713,0,0,0.5003,0.1666,0,0.7508,0,1.0003
ENSG00000227046,DAXX,625.0097,610.0361,445.3422,538.3197,733.3988,637.7453,700.5258,500.6281,605.0385
ENSG00000227051,C14orf132,279.6483,324.1646,195.0612,134.0816,234.9891,237.8883,122.464,126.2948,88.4373
ENSG00000227053,LOC102724094,49.5476,54.087,84.6529,22.2682,29.9695,24.1256,29.5714,45.3772,29.6479
ENSG00000227057,WDR46,106.3944,89.3852,133.5205,101.3003,104.6728,140.4384,584.0457,663.5684,511.907
ENSG00000227059,ANHX,0,0,0,0,0,0,0,0,0
ENSG00000227071,FOCAD-AS1,0.9887,0,0,0,2.0382,6.0631,0,0,6.9423
ENSG00000227074,SAPCD1,3.1199,1.3028,4.4333,8.5539,0,9.384,15.7756,8.3995,14.3874
ENSG00000227110,LMCD1-AS1,4.1457,7.0941,20.1961,4.9969,3.0025,7.0319,24.1867,43.2045,30.5049
ENSG00000227115,LINC01630,65.1579,80.1732,56.7033,18.95,29.5809,37.4618,68.115,70.7294,51.3793
ENSG00000227122,PRRT1,1.1239,2.124,2.5219,5.4157,5.6134,3.0932,1.1236,0.8723,2.1918
ENSG00000227124,ZNF717,59.9251,66.0585,57.2401,97.6384,71.1301,72.1145,30.9223,21.9919,52.9961
ENSG00000227129,NEU1,208.1433,217.1317,226.3519,266.102,205.4714,206.7596,181.8357,138.8558,196.912
ENSG00000227131,LOC105375050,0,0,0,0,0,0,0,0,0
ENSG00000227137,OR5V1,0,0,0,0,0,0,0,0.749,0
ENSG00000227140,USP17L5,0,0,0,0,0,0,0,0,0.2354
ENSG00000227143,LINC01153,0,0,0,0,0,0,0,0,0
ENSG00000227144,VWA7,0.8421,1.0169,1.7546,0.2562,1.7385,0.9628,0.6843,10.6318,1.2971
ENSG00000227145,IL21-AS1,0,0,0,0,0,0,0,0,1.0005
ENSG00000227147,TRIM15,1.2006,0.4528,0.4986,6.2685,3.9674,3.7469,0.5015,0.3141,0.4547
ENSG00000227151,PRR20D,0,0,0,0,0,0,0.167,0,0.1667
ENSG00000227165,WDR11-AS1,5.4442,11.1668,6.4202,3.0773,3.4257,7.866,17.3263,42.0732,22.8779
ENSG00000227171,RNF39,0,0,0,0,0,0,0,0,0
ENSG00000227175,LOC105376421,0,0,0,0,0,0,0,0,0
