Gene	Group
GPC2	example2
SLC38A4	example2
CNPY4	example2
TWIST1	example2
MDH1B	example2
EN1	example2
COL1A1	example2
DLX5	example2
KLHDC9	example2
LGALS7	example2
HMCN1	example2
OCEL1	example2
KRT19	example2
LBH	example2
HECW2	example2
FZD1	example2
RPS6KA2	example2
LOC728743	example2
TINCR	example2
GLI1	example2
CIDEB	example2
CCDC176	example2
PLEKHG4	example2
ADAMTSL4	example2
ST6GALNAC2	example2
FGFR3	example2
NES	example2
SH2D3C	example2
PCOLCE	example2
FABP3	example2
PPFIBP2	example2
PABPC4L	example2
RHOBTB3	example2
HPGD	example2
JUNB	example2
PRDM1	example2
SMA5	example2
COPZ2	example2
SALL4	example2
EGR1	example2
WNT4	example2
ALDOC	example2
VSNL1	example2
MMP1	example2
EYA2	example2
DUSP2	example2
RASSF10	example2
BHLHE40	example2
FMN2	example2
PRSS27	example2
LOXL2	example2
ACAA2	example2
LOC102723354	example2
LOC100128239	example2
CRIP2	example2
INSIG1	example2
ATP8A1	example2
UNC5B	example2
SLC6A2	example2
LOC653602	example2
LZTS1	example2
EDA	example2
BMP2	example2
HRK	example2
TMEM107	example2
DAPK2	example2
LMTK3	example2
TNFSF10	example2
LIN7B	example2
CAMK2A	example2
FAM84A	example2
TP53I11	example2
OLFML2A	example2
SLC27A1	example2
L1CAM	example2
DLX4	example2
SREBF1	example2
TBX19	example2
PEX11G	example2
SEMA3C	example2
DCBLD1	example2
CCDC74A	example2
FGGY	example2
BMP8B	example2
ARSI	example2
PLXNB3	example2
HSD17B8	example2
JUND	example2
PCDHB14	example2
ANKRD65	example2
CFAP57	example2
ZNF488	example2
BCAM	example2
ZNF784	example2
TNC	example2
SSBP2	example2
ROGDI	example2
WNT10A	example2
LINC01124	example2
ALG1L	example2
TMEM189-UBE2V1	example2
AGAP11	example2
PPP2R2B	example2
STARD5	example2
MARCKS	example2
SP5	example2
EHD2	example2
SMARCD3	example2
GAL3ST4	example2
CALB1	example2
PDPN	example2
HOXC12	example2
FBN1	example2
SUSD4	example2
VWA1	example2
CKB	example2
JAG2	example2
SYTL1	example2
ZNF775	example2
NUDT14	example2
CYP27C1	example2
RAPGEFL1	example2
OTUD1	example2
SC5D	example2
SESN3	example2
NEBL	example2
PLCD1	example2
CLEC2B	example2
SLC9A3	example2
CACFD1	example2
MT2A	example2
SCD	example2
FRY	example2
UCP2	example2
DPYSL2	example2
ARHGAP44	example2
IFT22	example2
TAGLN	example2
PLA2R1	example2
PCDHGB7	example2
NICN1	example2
ABHD14A	example2
HTR7	example2
PLLP	example2
IVNS1ABP	example2
MEIS2	example2
VWA2	example2
RHOB	example2
LINC00673	example2
PLTP	example2
HNRNPA1P33	example2
LOC727751	example2
OSCP1	example2
JMJD1C-AS1	example2
TNFAIP2	example2
WDPCP	example2
GLUL	example2
FBP1	example2
OXTR	example2
TLE2	example2
KRT14	example2
RAPGEF3	example2
SUV420H2	example2
S100A6	example2
ZFP42	example2
ANXA8	example2
FSD1	example2
PCSK5	example2
FKBP1B	example2
NEDD9	example2
DHRS12	example2
CCDC106	example2
ANXA9	example2
TOM1L2	example2
PXN-AS1	example2
VAV3	example2
SCNN1A	example2
ID4	example2
DYRK1B	example2
SNCG	example2
GAS1	example2
UPK3BL	example2
NFKBIZ	example2
TSPAN1	example2
KREMEN1	example2
ST6GAL1	example2
TUBA1A	example2
TRIM22	example2
CCBE1	example2
ASIC2	example2
COPG2	example2
SDK1	example2
RIMS3	example2
TRAPPC6A	example2
PLXDC2	example2
EPB41L1	example2
EVPLL	example2
MAGED1	example2
MGAT5B	example2
BMF	example2
MKL1	example2
SYT17	example2
DGCR6	example2
CYP4F12	example2
COL5A3	example2
KRT7	example2
DAPK1	example2
SYNGR1	example2
SPTSSB	example2
UPK3B	example2
MAP3K12	example2
FUZ	example2
IGSF9	example2
ZBED6CL	example2
CA11	example2
TESK2	example2
PTGS2	example2
RDH10	example2
NEURL1B	example2
MIR205HG	example2
MYO15B	example2
ANXA8L1	example2
KRT17	example2
SNURF	example2
TP53TG1	example2
MAP4K2	example2
MX2	example2
ELF3	example2
SNRNP35	example2
KIAA1407	example2
PCDHB13	example2
GOLIM4	example2
