	Pro_1	Pro_2	Pro_3	Sen_1	Sen_2	Sen_3
NM_001105	0	0	0	0	0	0
NM_001111067	1181	1328	969	788	867	701
NM_004302	369.58	449	323	689	558	522
NM_020327	0	0	0	0	0	0
NM_020328	16.42	0	0	0	0	0
NM_001111031	0	0	0	2	0	3
NM_001111032	0	0	0	0	0	0
NM_001111033	1	0	2	0	3	0
NM_145259	0	0	0	0	0	0
NM_001278579	109.28	19.12	47.66	0	80.56	0
NM_001278580	9.11	51.66	0	89.9	9.7	0
NM_001616	77.05	86.44	63.84	0	0	93.35
NM_001106	126	106	80	117	145	101
NR_028389	6	1	1	1	0	2
NM_000020	184.91	152.98	117.41	275.27	212.42	370.43
NM_001077401	60.09	111.02	54.59	745.73	553.58	564.57
NM_000666	114.35	129.83	127	185.33	217.99	125.25
NM_001198895	0	0	0	0	0	0
NM_001198896	0	0	0	0	0	0
NM_001198897	7.76	0	0	0	0	0
NM_001198898	0	0	0	0	0	7.46
NM_080658	0	0	0	0	0	0
NM_001107	15.59	37.07	14.61	54.59	48.61	44.96
NM_001302616	0	0	0	0	0	0
NM_001302617	5.79	0	0	11.22	16.02	0
NR_126393	16.62	0	5.39	7.19	0	3.82
NR_126394	0	3.93	0	0	3.36	5.22
NR_126395	0	0	0	0	0	0
NM_138448	130	125	102	111	106	97
NM_000022	55	66	61	95	72	102
NM_001159285	0	0	0	0	0	0
NM_001159295	0	0	0	0	0	0
NM_139243	0	0	0	0	0	0
NM_001145400	0	0	0	0	0	0
NM_139174	0	0	0	0	0	0
NM_001012969	14.86	25.09	13.68	12.98	18.78	7.86
NM_001159280	74.97	72.46	51.63	22.2	43.4	27.74
NM_001110	5471	5882	4307	3084	2776	2607
NM_002390	4	5	4	0	3	3
NM_001288973	247.06	258.72	156.06	1312.26	1051.5	1181.45
NM_001288974	0	0	0.01	100.74	0	103.55
NM_001288975	8.94	37.28	22.94	0	122.5	0
NM_003474	0	0	0	0	0	0
NM_021641	0	0	0	0	0	0
NM_001261464	31.38	0	0	0	0	0
NM_001261465	0	0	0	23.59	0	0
NM_001261466	4.41	0	22.33	7.61	5.51	5.55
NM_003815	706.81	843.02	524.21	792.43	751.4	651.97
NM_207191	0	26.3	0	0	0	0
NM_207194	0	0	17.23	0	0	0
NM_207195	16.73	0	0	9.03	0	19.67
NM_207196	0	12.67	0	50.33	0	0
NM_207197	0	0	0	0	0	0
NR_048577	0	0	16.22	31.82	0	0
NR_048578	0	0	0	0	0	0
NR_048579	28.66	0	0	6.19	10.09	20.8
NM_003183	996	1087	720	746	785	685
NM_001190956	0	0	0	0	0	0
NM_014237	0	0	0	0	0	0
NM_033274	3265	3971	2520	15898	12302	11966
NR_036636	29	19	10	15	17	7
NM_001278113	0	0	0	0	0	0
NM_001278114	0	0	0	0	0	0
NM_001464	0	0	0	0	0	0
NM_003814	0	1	0	0	0	0
NR_037933	0	0	0	0	0	0
NM_003813	2	3	3	1.4	5	1
NR_003951	0	0	0	1.6	0	0
NM_004194	0	0	0	0	0	0
NM_016351	2	4	0	2.84	0	1
NM_021721	0	0	1	1.16	0	0
NM_021722	0	0	0	0	0	0
NM_021723	0	0	0	0	0	0
NM_003812	172	169	92	70	70	68
NM_001304351	1	0	1	1	0	4.11
NM_014265	0	0	0	0	0	0
NM_021777	0	0	0	0	0	0
NR_130709	0	0	0	0	0	0.89
